School,Name,Address,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year,Net Price,Largest Program,IPEDS ID,OPE ID
Pittsburgh,University of Pittsburgh-Pittsburgh Campus,"4200 Fifth Avenue, Pittsburgh, Pennsylvania 15260",www.pitt.edu,"4-year, Public",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,28673,19330,0.83,0.13,Fall 2012,"$24,040 ",-,215293,337900
Purdue,Purdue University-Main Campus,"Hovde Hall of Administration, West Lafayette, Indiana 47907-2040",https://www.purdue.edu,"4-year, Public",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,44474,33735,0.81,0,Fall 2012,"$11,898 ",-,243780,182500
Rice,Rice University,"6100 S Main St, Houston, Texas 77005-1827",www.rice.edu,"4-year, Private not-for-profit",Bachelor's degree;Master's degree;Doctor's degree - research/scholarship,City: Large,Yes,7124,3992,0.95,0,Fall 2012,"$23,202 ",-,227757,360400
Rutgers,Rutgers University-Newark,"249 University Avenue, Blumenthal Hall, Newark, New Jersey 07102",https://www.newark.rutgers.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,13451,9142,0.64,0.21,Fall 2012,"$11,301 ",-,186399,262902
San Diego State,San Diego State University,"5500 Campanile Dr, San Diego, California 92182-0001",www.sdsu.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice;Doctor's degree - other,City: Large,Yes,35303,30586,0.74,0.02,Fall 2012,"$14,568 ",-,122409,115100
San Jose State,San Jose State University,"One Washington Square, San Jose, California 95192-0001",www.sjsu.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree,City: Large,Yes,35400,27327,0.65,0.04,Fall 2012,"$14,519 ",-,122755,115500
South Alabama,University of South Alabama,"307 N University Blvd, Mobile, Alabama 36688-0002",www.southalabama.edu,"4-year, Public",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,14834,10293,0.44,0.31,Fall 2012,"$12,836 ",-,102094,105700
South Carolina,University of South Carolina-Columbia,"Columbia-Campus, Columbia, South Carolina 29208",www.sc.edu/,"4-year, Public",Less than one year certificate;Associate's degree;Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,34795,26733,0.77,0.17,Fall 2012,"$20,181 ",-,218663,344800
South Florida,University of South Florida-Main Campus,"4202 East Fowler Ave, Tampa, Florida 33620-9951",www.usf.edu,"4-year, Public",Associate's degree;Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,43846,32240,0.73,0.11,Fall 2012,"$10,460 ",-,137351,153700
Southern California,University of Southern California,"University Park, Los Angeles, California 90089",www.usc.edu/,"4-year, Private not-for-profit",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice;Doctor's degree - other,City: Large,Yes,47310,19907,0.92,0,Fall 2012,"$36,161 ",-,123961,132800
Southern Methodist,Southern Methodist University,"6425 Boaz St, Dallas, Texas 75275-0221",www.smu.edu,"4-year, Private not-for-profit",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Suburb: Large,Yes,11649,6479,0.78,0.16,Fall 2012,"$38,562 ",-,228246,361300
Southern Mississippi,University of Southern Mississippi,"118 College Drive # 0001, Hattiesburg, Mississippi 39406-0001",https://www.usm.edu,"4-year, Public",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship,City: Small,Yes,14509,11920,0.49,0,Fall 2012,"$13,773 ",-,176372,244100
Stanford,Stanford University,"Stanford, California 94305",www.stanford.edu/,"4-year, Private not-for-profit",Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Suburb: Large,Yes,17381,7087,0.94,0,Fall 2012,"$17,271 ",-,243744,130500
Syracuse,Syracuse University,"900 South Crouse Ave., Syracuse, New York 13244",https://www.syracuse.edu,"4-year, Private not-for-profit",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,22803,15226,0.83,0,Fall 2012,"$39,005 ",-,196413,288200
Tennessee,The University of Tennessee-Knoxville,"527 Andy Holt Tower, Knoxville, Tennessee 37996",www.utk.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,28894,22815,0.73,0.19,Fall 2012,"$21,019 ",-,221759,353000
Texas,The University of Texas at Austin,"110 Inner Campus Drive, Austin, Texas 78705",www.utexas.edu,"4-year, Public",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,51832,40804,0.83,0,Fall 2012,"$14,156 ",-,228778,365800
Texas A&M,Texas A & M University-College Station,"JKW Administration Building, Suite 200, College Station, Texas 77843-1248",https://www.tamu.edu,"4-year, Public",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,68679,53743,0.82,0.08,Fall 2012,"$19,118 ",-,228723,363200
Texas Christian,Texas Christian University,"2800 S University Dr, Fort Worth, Texas 76129",www.tcu.edu/,"4-year, Private not-for-profit",One but less than two years certificate;Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,10918,9445,0.83,0.13,Fall 2012,"$37,344 ",-,228875,363600
Texas State,Texas State University,"601 University Dr, San Marcos, Texas 78666",www.txstate.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Suburb: Small,Yes,38644,34187,0.55,0,Fall 2012,"$13,729 ",-,228459,361500
Texas Tech,Texas Tech University,"Broadway and University Avenue, Lubbock, Texas 79409-5005",www.ttu.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,38209,31957,0.6,0.27,Fall 2012,"$15,531 ",-,229115,364400
Texas-El Paso,The University of Texas at El Paso,"500 W. University Ave, El Paso, Texas 79968-0691",www.utep.edu,"4-year, Public",Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,25151,21464,0.39,0.28,Fall 2012,"$7,720 ",-,228796,366100
Texas-San Antonio,The University of Texas at San Antonio,"One UTSA Circle, San Antonio, Texas 78249-1644",www.utsa.edu/,"4-year, Public",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship,City: Large,Yes,32264,27988,0.4,0.27,Fall 2012,"$13,064 ",-,229027,1011500
Toledo,University of Toledo,"2801 W Bancroft, Toledo, Ohio 43606-3390",www.utoledo.edu/,"4-year, Public",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice;Doctor's degree - other,City: Large,Yes,20237,16065,0.47,0,Fall 2012,"$16,588 ",-,206084,313100
Troy,Troy University,"University Avenue, Troy, Alabama 36082-0001",www.troy.edu,"4-year, Public",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Town: Remote,Yes,16981,13452,0.43,0.3,Fall 2012,"$12,114 ",-,102368,104700
Tulane,Tulane University of Louisiana,"6823 St. Charles Avenue, New Orleans, Louisiana 70118-5698",tulane.edu,"4-year, Private not-for-profit",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,12646,7920,0.85,0.11,Fall 2012,"$37,692 ",-,160755,202900
Tulsa,University of Tulsa,"800 South Tucker Drive, Tulsa, Oklahoma 74104-3189",https://utulsa.edu,"4-year, Private not-for-profit",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,4365,3267,0.74,0,Fall 2012,"$25,436 ",-,207971,318500
UCLA,University of California-Los Angeles,"405 Hilgard Ave, Los Angeles, California 90095-1405",www.ucla.edu/,"4-year, Public",Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,44537,31577,0.91,0.04,Fall 2012,"$15,002 ",-,110662,131500
Utah,University of Utah,"201 Presidents Circle, ROOM 201, Salt Lake City, Utah 84112-9008",www.utah.edu,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,33023,24743,0.7,0,Fall 2012,"$13,460 ",-,230764,367500
Utah State,Utah State University,"Old Main Hill, Logan, Utah 84322-1400",www.usu.edu,"4-year, Public",One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,27932,24880,0.5,0,Fall 2012,"$12,738 ",-,230728,367700
Vanderbilt,Vanderbilt University,"2101 West End Avenue, Nashville, Tennessee 37240",www.vanderbilt.edu,"4-year, Private not-for-profit",Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,12824,6861,0.94,0,Fall 2012,"$23,596 ",-,221999,353500
Virginia,University of Virginia-Main Campus,"1827 University Avenue, Charlottesville, Virginia 22903-2628",https://www.virginia.edu,"4-year, Public",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Suburb: Small,Yes,24639,16777,0.94,0.04,Fall 2012,"$17,845 ",-,234076,374500
Wake Forest,Wake Forest University,"1834 Wake Forest Road, Winston-Salem, North Carolina 27106",www.wfu.edu,"4-year, Private not-for-profit",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,8401,5225,0.89,0,Fall 2012,"$27,354 ",-,199847,297800
Washington,University of Washington-Seattle Campus,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",www.washington.edu,"4-year, Public",Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice;Doctor's degree - other,City: Large,Yes,47400,32099,0.84,0,Fall 2012,"$9,765 ",-,236948,379800
Washington State,Washington State University,"French Administration Building, Pullman, Washington 99164-5910",wsu.edu/,"4-year, Public",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Town: Distant,Yes,31478,26098,0.59,0,Fall 2012,"$17,297 ",-,236939,380000
West Virginia,West Virginia University,"PO Box 6201, Morgantown, West Virginia 26506",www.wvu.edu,"4-year, Public",Bachelor's degree;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,26864,21155,0.6,0.28,Fall 2012,"$12,181 ",-,238032,382700
Western Kentucky,Western Kentucky University,"1906 College Heights Blvd, Bowling Green, Kentucky 42101-1000",www.wku.edu,"4-year, Public",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - professional practice;Doctor's degree - other,City: Small,Yes,19456,17030,0.45,0.29,Fall 2012,"$12,486 ",-,157951,200200
Western Michigan,Western Michigan University,"1903 W Michigan Ave, Kalamazoo, Michigan 49008-5200",https://wmich.edu/,"4-year, Public",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,22562,17760,0.53,0.3,Fall 2012,"$15,863 ",-,172699,233000
Wisconsin,University of Wisconsin-Madison,"500 Lincoln Dr, Madison, Wisconsin 53706-1380",www.wisc.edu,"4-year, Public",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,43463,31705,0.87,0,Fall 2012,"$14,169 ",-,240444,389500
Wyoming,University of Wyoming,"Corner of Ninth and Ivinson, Laramie, Wyoming 82071",www.uwyo.edu,"4-year, Public",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Town: Remote,Yes,12450,9998,0.57,0.27,Fall 2012,"$12,999 ",-,240727,393200
Arizona State,Arizona State University-Tempe,"University Drive and Mill Avenue, Tempe, Arizona 85287",www.asu.edu/,"4-year, Public",Less than one year certificate;One but less than two years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship,City: Midsize,Yes,51585,42844,0.69,0,Fall 2012,"$13,731 ",-,104151,108100
Baylor,Baylor University,"Waco, Texas 76798",www.baylor.edu,"4-year, Private not-for-profit",Bachelor's degree;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Midsize,Yes,17217,14188,0.79,0,Fall 2012,"$35,158 ",-,223232,354500
Boston College,Boston College,"140 Commonwealth Avenue, Chestnut Hill, Massachusetts 02467",www.bc.edu,"4-year, Private not-for-profit",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Small,Yes,14720,9927,0.92,0.06,Fall 2012,"$26,567 ",-,164924,212800
California,University of California-Irvine,"501 Aldrich Hall, Irvine, California 92697",www.uci.edu/,"4-year, Public",Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,Yes,36032,29736,0.83,0.1,Fall 2012,"$15,014 ",-,110653,131400
